Url,Zestimate,Price,Rent Zestimate,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,City,Zip,State,Country,Broker Name,,sgapt,statusText,statusType
https://www.zillow.com/homedetails/40031-Hillcrest-Dr-Big-Bear-Lake-CA-92315/17383772_zpid/,679514,699900,2556,2,3,1415,SINGLE_FAMILY,40031 Hillcrest Dr,Big Bear Lake,92315,CA,USA,Vacasa Real Estate Corp.,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/872-Conklin-Rd-Big-Bear-Lake-CA-92315/17385696_zpid/,775100,799000,2999,2,4,1728,SINGLE_FAMILY,872 Conklin Rd,Big Bear Lake,92315,CA,USA,Charis Real Estate,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/426-Eagle-Lake-Dr-Big-Bear-Lake-CA-92315/2091738140_zpid/,1624000,1790000,7020,3,5,3527,SINGLE_FAMILY,426 Eagle Lake Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/41562-Park-Ave-Big-Bear-Lake-CA-92315/17386141_zpid/,629203,649900,2749,2,3,1458,SINGLE_FAMILY,41562 Park Ave,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/39209-Big-Bear-Blvd-Big-Bear-Lake-CA-92315/17382983_zpid/,507000,650000,2100,2,3,948,SINGLE_FAMILY,39209 Big Bear Blvd,Big Bear Lake,92315,CA,USA,"Jonathan Whitesides, Broker",,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/205-Lagunita-Ln-Big-Bear-Lake-CA-92315/17383460_zpid/,3729600,5895000,22993,7,7,5734,SINGLE_FAMILY,205 Lagunita Ln,Big Bear Lake,92315,CA,USA,WHEELER STEFFEN SOTHEBY'S INT.,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/871-Elm-St-Big-Bear-Lake-CA-92315/17619865_zpid/,569366,589000,2999,2,3,1520,SINGLE_FAMILY,871 Elm St,Big Bear Lake,92315,CA,USA,"Mountain Lake Properties, Inc.",,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42255-Castle-Crag-Rd-Big-Bear-Lake-CA-92315/82910601_zpid/,1410009,1490000,6735,4,4,3300,SINGLE_FAMILY,42255 Castle Crag Rd,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/41941-Evergreen-Dr-Big-Bear-Lake-CA-92315/17618673_zpid/,774500,799900,3129,4,4,1970,SINGLE_FAMILY,41941 Evergreen Dr,Big Bear Lake,92315,CA,USA,Platinum Finance Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/729-Cove-Dr-Big-Bear-Lake-CA-92315/17382174_zpid/,1125000,1200000,5297,3,3,1708,SINGLE_FAMILY,729 Cove Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/40072-Lakeview-Dr-Big-Bear-Lake-CA-92315/17383424_zpid/,763774,799999,2650,3,3,1570,SINGLE_FAMILY,40072 Lakeview Dr,Big Bear Lake,92315,CA,USA,Compass,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/1229-Alpenweg-Dr-Big-Bear-Lake-CA-92315/17620064_zpid/,750000,759500,3141,2,3,1880,SINGLE_FAMILY,1229 Alpenweg Dr,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42538-La-Placida-Ave-Big-Bear-Lake-CA-92315/137976824_zpid/,639900,649900,2314,2,3,1119,SINGLE_FAMILY,42538 La Placida Ave,Big Bear Lake,92315,CA,USA,BHHS CA Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/580-Talmadge-Rd-Big-Bear-Lake-CA-92315/17384583_zpid/,670200,665000,2878,2,3,1646,SINGLE_FAMILY,580 Talmadge Rd,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/430-Gibralter-Rd-Big-Bear-Lake-CA-92315/17384169_zpid/,874900,1199999,4902,2,4,1273,SINGLE_FAMILY,430 Gibralter Rd,Big Bear Lake,92315,CA,USA,Coldwell Banker Realty,,For Sale (Broker),House for sale,FOR_SALE
